Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
abu-dhabi-beige-back-strap,Abu Dhabi Beige Interchangeable Back Strap,"<meta charset=""utf-8"">
<p>Our Abu Dhabi Beige is your go-to bra for all of your outfit needs. Wear it strapless or hook shoulder straps on for multi-way wear. You know you'll be covered for any occasion with this back strap!</p>
<p>Hidden closures located on the sides of the back straps leave a seamless look across your back as well as more balanced support and more adjustment options to provide a better fit.</p>
<meta charset=""utf-8"">
<p><span>Multi-loop button hole elastic options along the top inside of the back strap allow you to wear multiple shoulder straps at the same time or to move them around to fit your trickiest wardrobe needs. </span></p>
<p>Silicone strip across the inside back strap gives a non slip support while going strapless. Best of all, you can mix and match any back strap to our cups.</p>
<p>Sizing: 26-30 (approx 13 1/2in. long) accommodates band sizes 26,28,30. 30-34 <span>(approx 15 1/2in. long) </span>accommodates band sizes 30,32,34. 34-38 <span>(approx 17 1/2in. long) </span>accommodates band sizes 34,36,38.</p>
<meta charset=""utf-8"">
<ul>
<li>
<span>Made of </span><span>Nylon Spandex</span>
</li>
<li>Hand wash and lay flat to dry</li>
<li>Each item is sold separately, shoulder straps are not included</li>
</ul>
<p> </p>",The Bra Lab,Back Straps,"Large, Medium, meta-related-collection-straps, Small, XLarge, XSMALL",true,Size,XSmall,Color,Beige,,,TBL1001.4,28,shopify,37,deny,manual,14.00,14.00,true,true,'859627007936,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2160.jpg?v=1537376297,1,,false,Strapless Bra for open back and backless dresses,"Free Exchanges & Returns | Cool New Innovative Bra Brand | Interchangeable Straps & Customizable | Comfortable, Multiway, Best Strapless Bra | Sizes AA-H 26-42",apparel & accessories > clothing > underwear & socks > bras,female,adult,,Back Straps,Back Straps,new,false,The Bra Lab,Strapless Bras,Interchangeable Bras,,Cool New Bras,,oz,,2.20
abu-dhabi-beige-back-strap,,,,,,,,Small,,Beige,,,TBL1001,28,shopify,582,deny,manual,14.00,14.00,true,true,'855718007748,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_0421.jpg?v=1537375889,2,,,,,,,,,,,,,,,,,,,oz,,2.20
abu-dhabi-beige-back-strap,,,,,,,,Medium,,Beige,,,TBL1001.1,28,shopify,273,deny,manual,14.00,14.00,true,true,'850259007004,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_On_Body-4934.jpg?v=1537375889,3,Abu Dhabi Beige Interchangeable Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,oz,,2.20
abu-dhabi-beige-back-strap,,,,,,,,Large,,Beige,,,TBL1001.2,28,shopify,486,deny,manual,14.00,14.00,true,true,'850259007042,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4777.jpg?v=1537375889,4,Abu Dhabi Beige Interchangeable Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,oz,,2.20
abu-dhabi-beige-back-strap,,,,,,,,XLarge,,Beige,,,TBL1001.3,28,shopify,221,deny,manual,14.00,14.00,true,true,'850259007042,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4779.jpg?v=1537375889,5,Abu Dhabi Beige Interchangeable Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,oz,,2.20
berkshire-herringbone-back-strap,Berkshire Herringbone Back Strap,"<meta charset=""utf-8"">
<p>Timeless style with a modern twist. Channel your inner prep in our Herringbone back strap. </p>
<p>Multi-loop options on the inside of the back strap allow you to wear multiple shoulder straps at the same time or to move them around to fit your trickiest wardrobe needs.</p>
<p>Silicone strip across the inside back strap gives a non slip support while going strapless. Best of all, you can mix and match any back strap to our cups.</p>
<p>Sizing: 30-34 <span>(approx 15 1/2in. long) </span>accommodates band sizes 30,32,34. 34-38 <span>(approx 17 1/2in. long) </span>accommodates band sizes 34,36,38.</p>
<p>Each item is sold separately. You must purchase a Bra Lab cup to wear with our back straps. </p>
<p>Not sure which bra to get? For general questions send us an email shop@thebralab.com or a pic of your outfit to our stylist gigi@thebralab.com</p>
<p>Model wearing size 30-34 </p>
<p>Material: Bamboo Cotton/Spandex</p>
<p>Care: Hand Wash</p>
<p>Patented Design</p>",The Bra Lab,Back Straps,"Large, Medium",false,Size,30-34 (M),Color,Black & White,,,TBL92,28,shopify,0,deny,manual,14.00,14.00,true,true,'850259007028,https://cdn.shopify.com/s/files/1/0673/5573/products/jan19_014.jpg?v=1546616269,1,,false,"Bras | The Best Multi-Way Bras - Strapless Bras, Push-Up Bras, Lace Bras Online | The Bra Lab","Free Shipping & Returns | Shop Online | How To Solve Your Open Back Wardrobe Dilemmas 
Interchangeable & Customizable designs; push up bra, lace bra, strapless bra, strappy bra, backless bra, bralette bra. Comfortable, most versatile bra. The best strapless bra. Sizes AA-DDD 30-38.   
",,,,,,,,,,,,,,,oz,,5.17
berkshire-herringbone-back-strap,,,,,,,,34-38 (L),,Black & White,,,TBL92.1,28,shopify,250,deny,manual,14.00,14.00,true,true,'850259007035,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_On_Body-4895.jpg?v=1546616269,2,Berkshire Herringbone Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,oz,,5.17
berkshire-herringbone-back-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/GV2A1429.JPG?v=1546616269,3,,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-back-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/SEB_9290.jpg?v=1546616269,4,Berkshire Herringbone Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-back-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4780.jpg?v=1546616269,5,Berkshire Herringbone Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-back-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4782.jpg?v=1546616269,6,Berkshire Herringbone Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-back-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/SEB_92891.jpg?v=1546616269,7,Berkshire Herringbone Back Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
bondi-beach-back-strap,Bondi Beach Back Strap,"<meta charset=""utf-8"">
<p>Bondi Beach gives us total summer vibes. Pair this strappy back strap with our supportive cups and you'll get that delicate bralette look without compromising your support. This back strap is one piece and comes with attached shoulder straps. </p>
<p>Finally a back strap without an ugly back closure. Hidden closures located on the sides of the back straps leave a seamless look across the back as well as more balanced support and more adjustment options to provide a better fit. Multi-loop options on the inside of the back strap allow you to wear multiple shoulder straps at the same time or to move them around to fit your trickiest wardrobe needs.</p>
<meta charset=""utf-8"">
<p><span>Sizing: Small is approx a 26-30 band. Medium is approx a 30-34 band. Large is approx a 34-38 band.</span></p>
<p>Each item is sold separately. You must purchase a Bra Lab cup to wear with our back straps. </p>
<p>Not sure which bra to get? For general questions send us an email shop@thebralab.com or a pic of your outfit to our stylist gigi@thebralab.com  </p>
<p>Model wearing size Medium</p>
<p>Material: Nylon/Spandex</p>
<p>Care: Hand Wash</p>
<p>Patented Design</p>",The Bra Lab,Back Straps,"Large, Medium, meta-related-collection-straps, Small, XLarge",true,Size,Small,Color,Black,,,TBL105,28,shopify,161,deny,manual,16.00,16.00,true,true,'761531323258,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_1892.jpg?v=1535566479,1,,false,Multiway Bras | The Best Strapless Bra | The Bra Lab,"Free Exchanges & Returns | Cool New Innovative Bra Brand | Interchangeable Straps & Customizable | Comfortable, Multiway, Best Strapless Bra | Sizes AA-H 26-42",,,,,,,,,,,,,,,oz,,2.20
bondi-beach-back-strap,,,,,,,,Medium,,Black,,,TBL105.1,28,shopify,88,deny,manual,16.00,16.00,true,true,'850259007073,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_1885.jpg?v=1535566479,2,,,,,,,,,,,,,,,,,,,oz,,2.20
bondi-beach-back-strap,,,,,,,,Large,,Black,,,TBL105.2,28,shopify,178,deny,manual,16.00,16.00,true,true,'850259007080,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_1896.jpg?v=1535566479,3,,,,,,,,,,,,,,,,,,,oz,,2.20
bondi-beach-back-strap,,,,,,,,XLarge,,Black,,,TBL105.3,28,shopify,182,deny,manual,16.00,16.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,2.20
