Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
abu-dhabi-beige-shoulder-strap,Abu Dhabi Beige Shoulder Strap,"<meta charset=""utf-8"">
<p>The most luxe beige shoulder straps with a hidden seam and a slight shimmer to the fabric. Gold hardware makes you feel like you can wear these with anything!</p>
<p>Select one of our classic or on trend seasonal fabrics to go with any outfit. Shoulder straps are meant to be seen. Arrange the straps in multiple different ways attaching to the interior loops on the cups and back straps.</p>
<meta charset=""utf-8""><meta charset=""utf-8"">
<ul>
<li><span>Adjustable clasp, one size fits all</span></li>
<li>
<span>Made of </span><span>Nylon Spandex</span>
</li>
<li>Hand Wash</li>
<li>Each shoulder strap comes as a pair</li>
</ul>",The Bra Lab,Shoulder Strap,Beige,true,Title,Default Title,,,,,TBL10012,3,shopify,1203,deny,manual,10.00,0.00,true,true,'850259007592,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2184.jpg?v=1554823295,1,,false,"Bras | The Best Strappy Bras, Backless Bras, Bralettes | The Bra Lab","Free Exchanges & Returns | Cool New Innovative Bra Brand | Interchangeable Straps & Customizable | Comfortable, Multiway, Best Strapless Bra | Sizes AA-H 26-42",,,,,,,,,,,,,,,oz,,1.79
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2184_c89ea342-18f0-4b43-ae8e-2b3ff26c6685.jpg?v=1554823295,2,,,,,,,,,,,,,,,,,,,,,
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2190.jpg?v=1554823295,3,,,,,,,,,,,,,,,,,,,,,
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_4896.JPG?v=1554823295,4,,,,,,,,,,,,,,,,,,,,,
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/ABU_DABI_BEIGE_SHOULDER_STRAP.jpg?v=1554823295,5,Abu Dhabi Beige Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4837.jpg?v=1554823295,6,Abu Dhabi Beige Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
abu-dhabi-beige-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/unnamed-2_4d97888a-14aa-467d-ad9c-4d1bb6dd3756.jpg?v=1554823295,7,,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-shoulder-strap,Berkshire Herringbone Shoulder Strap,"<meta charset=""utf-8"">
<p>Select one of our classic or on trend seasonal fabrics to go with any outfit. Shoulder straps are meant to be seen. Arrange the straps in multiple different ways attaching to the interior loops on the cups and back straps. Adjustable clasp, one size fits all. <strong>Each </strong><strong>shoulder strap order comes with a pair of shoulder straps. </strong></p>
<p>Material: Bamboo Cotton/Spandex</p>
<p>Care: Hand Wash</p>",The Bra Lab,Shoulder Strap,Black,false,Title,Default Title,,,,,TBL92.2,28,shopify,0,deny,manual,12.00,12.00,true,true,'850259007608,https://cdn.shopify.com/s/files/1/0673/5573/products/SEB_9321_924492bd-e064-4ce5-a129-4ef9a68d5550.jpg?v=1508510772,1,Berkshire Herringbone Shoulder Strap | The Bra Lab - The Bra Lab,false,"Bras | The Best Strappy Bras, Backless Bras, Bralettes | The Bra Lab","Free Shipping & Returns | Shop Online | Cool New Bra Brand 
Interchangeable & Customizable designs; push up bra, lace bra, strapless bra, strappy bra, backless bra, bralette bra. Comfortable, most versatile bra. The best strapless bra. Sizes AA-DDD 30-38.  ",,,,,,,,,,,,,,,oz,,3.71
berkshire-herringbone-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/SEB_5698_0d95e833-8df5-4a2b-9b5a-4fceba1fc3f4.jpg?v=1527240072,2,Berkshire Herringbone Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/strap-2.jpg?v=1527240072,3,Berkshire Herringbone Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
berkshire-herringbone-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/SEB_5802.jpg?v=1527240072,4,Berkshire Herringbone Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
manhattan-black-shoulder-strap,Manhattan Black Shoulder Strap,"<meta charset=""utf-8"">
<p>Your bra strap staple. Our Manhattan Black straps have a hidden seam and are supportive and look clean if shown. Add another pair with our multiway loops for a strappy alternative look.</p>
<p>Select one of our classic or on trend seasonal fabrics to go with any outfit. Shoulder straps are meant to be seen. Arrange the straps in multiple different ways attaching to the interior loops on the cups and back straps. Adjustable clasp, one size fits all. <strong>Each shoulder strap order comes with a pair of shoulder straps. </strong></p>
<p>Material: Nylon/Spandex</p>
<p>Care: Hand Wash</p>",The Bra Lab,Shoulder Strap,Black,true,Title,Default Title,,,,,TBL100.4,28,shopify,972,deny,manual,10.00,10.00,true,true,'850259007622,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_7873.jpg?v=1565027719,1,,false,"Bras | The Best Strappy Bras, Backless Bras, Bralettes | The Bra Lab","Free Exchanges & Returns | Cool New Innovative Bra Brand | Interchangeable Straps & Customizable | Comfortable, Multiway, Best Strapless Bra | Sizes AA-H 26-42",,,,,,,,,,,,,,,oz,,1.79
manhattan-black-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2431.jpg?v=1565027719,2,,,,,,,,,,,,,,,,,,,,,
manhattan-black-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_4929.JPG?v=1565027719,3,,,,,,,,,,,,,,,,,,,,,
manhattan-black-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/MANHATTAN_BLACK_SHOULDER_STRAP.jpg?v=1565027719,4,Manhattan Black Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
manhattan-black-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/Bra_Lab_Test-4840.jpg?v=1565027719,5,Manhattan Black Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
manhattan-black-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/unnamed-2_2_0956dd2d-61a0-4cc5-8c41-44eba15f56ed.jpg?v=1565027719,6,,,,,,,,,,,,,,,,,,,,,
napoletana-nera-shoulder-strap,Napoletana Nera Lace Shoulder Strap,"<meta charset=""utf-8"">
<p>Floral lace with scalloped edges. You will love having these in your wardrobe! </p>
<p>Select one of our classic or on trend seasonal fabrics to go with any outfit. Shoulder straps are meant to be seen. Arrange the straps in multiple different ways attaching to the interior loops on the cups and back straps. Adjustable clasp, one size fits all. <strong>Each shoulder strap order comes with a pair of shoulder straps. </strong></p>
<p>Material: Nylon/Spandex/Lace</p>
<p>Care: Hand Wash</p>",The Bra Lab,Shoulder Strap,Black,true,Title,Default Title,,,,,TBL1033,28,shopify,937,deny,manual,10.00,10.00,true,true,'850259007677,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_7863.jpg?v=1565027666,1,,false,Multiway Bras | The Best Strapless Bra | The Bra Lab,"Free Exchanges & Returns | Cool New Innovative Bra Brand | Interchangeable Straps & Customizable | Comfortable, Multiway, Best Strapless Bra | Sizes AA-H 26-42",,,,,,,,,,,,,,,oz,,1.84
napoletana-nera-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2283.jpg?v=1565027666,2,,,,,,,,,,,,,,,,,,,,,
napoletana-nera-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2286.jpg?v=1565027666,3,,,,,,,,,,,,,,,,,,,,,
napoletana-nera-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/IMG_2281.jpg?v=1565027666,4,,,,,,,,,,,,,,,,,,,,,
napoletana-nera-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/BlackLace-2_b612c2c5-8e32-49ec-b73a-0fa0ee7f29e0.jpg?v=1565027666,5,Napoletana Nera Lace Shoulder Strap | The Bra Lab - The Bra Lab,,,,,,,,,,,,,,,,,,,,
napoletana-nera-shoulder-strap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0673/5573/products/unnamed-2_2_3da55c92-5d18-4f3e-abff-f3cf1dc355e6.jpg?v=1565027666,6,,,,,,,,,,,,,,,,,,,,,
